normalized_hand,hand_rank,hand_type
JsJhJdJc4h,202,Four of a Kind
JsJhJdJc4s,203,Four of a Kind
JsJhJdJc3c,204,Four of a Kind
JsJhJdJc3d,205,Four of a Kind
JsJhJdJc3h,206,Four of a Kind
JsJhJdJc3s,207,Four of a Kind
JsJhJdJc2c,208,Four of a Kind
JsJhJdJc2d,209,Four of a Kind
JsJhJdJc2h,210,Four of a Kind
JsJhJdJc2s,211,Four of a Kind
JsTsThTdTc,212,Four of a Kind
Js9s9h9d9c,213,Four of a Kind
Js8s8h8d8c,214,Four of a Kind
Js7s7h7d7c,215,Four of a Kind
Js6s6h6d6c,216,Four of a Kind
Js5s5h5d5c,217,Four of a Kind
Js4s4h4d4c,218,Four of a Kind
Js3s3h3d3c,219,Four of a Kind
Js2s2h2d2c,220,Four of a Kind
TsThTdTc9c,221,Four of a Kind
TsThTdTc9d,222,Four of a Kind
TsThTdTc9h,223,Four of a Kind
TsThTdTc9s,224,Four of a Kind
TsThTdTc8c,225,Four of a Kind
TsThTdTc8d,226,Four of a Kind
TsThTdTc8h,227,Four of a Kind
TsThTdTc8s,228,Four of a Kind
TsThTdTc7c,229,Four of a Kind
TsThTdTc7d,230,Four of a Kind
TsThTdTc7h,231,Four of a Kind
TsThTdTc7s,232,Four of a Kind
TsThTdTc6c,233,Four of a Kind
TsThTdTc6d,234,Four of a Kind
TsThTdTc6h,235,Four of a Kind
TsThTdTc6s,236,Four of a Kind
TsThTdTc5c,237,Four of a Kind
TsThTdTc5d,238,Four of a Kind
TsThTdTc5h,239,Four of a Kind
TsThTdTc5s,240,Four of a Kind
TsThTdTc4c,241,Four of a Kind
TsThTdTc4d,242,Four of a Kind
TsThTdTc4h,243,Four of a Kind
TsThTdTc4s,244,Four of a Kind
TsThTdTc3c,245,Four of a Kind
TsThTdTc3d,246,Four of a Kind
TsThTdTc3h,247,Four of a Kind
TsThTdTc3s,248,Four of a Kind
TsThTdTc2c,249,Four of a Kind
TsThTdTc2d,250,Four of a Kind
TsThTdTc2h,251,Four of a Kind
TsThTdTc2s,252,Four of a Kind
Ts9s9h9d9c,253,Four of a Kind
Ts8s8h8d8c,254,Four of a Kind
Ts7s7h7d7c,255,Four of a Kind
Ts6s6h6d6c,256,Four of a Kind
Ts5s5h5d5c,257,Four of a Kind
Ts4s4h4d4c,258,Four of a Kind
Ts3s3h3d3c,259,Four of a Kind
Ts2s2h2d2c,260,Four of a Kind
9s9h9d9c8c,261,Four of a Kind
9s9h9d9c8d,262,Four of a Kind
9s9h9d9c8h,263,Four of a Kind
9s9h9d9c8s,264,Four of a Kind
9s9h9d9c7c,265,Four of a Kind
9s9h9d9c7d,266,Four of a Kind
9s9h9d9c7h,267,Four of a Kind
9s9h9d9c7s,268,Four of a Kind
9s9h9d9c6c,269,Four of a Kind
9s9h9d9c6d,270,Four of a Kind
9s9h9d9c6h,271,Four of a Kind
9s9h9d9c6s,272,Four of a Kind
9s9h9d9c5c,273,Four of a Kind
9s9h9d9c5d,274,Four of a Kind
9s9h9d9c5h,275,Four of a Kind
9s9h9d9c5s,276,Four of a Kind
9s9h9d9c4c,277,Four of a Kind
9s9h9d9c4d,278,Four of a Kind
9s9h9d9c4h,279,Four of a Kind
9s9h9d9c4s,280,Four of a Kind
9s9h9d9c3c,281,Four of a Kind
9s9h9d9c3d,282,Four of a Kind
9s9h9d9c3h,283,Four of a Kind
9s9h9d9c3s,284,Four of a Kind
9s9h9d9c2c,285,Four of a Kind
9s9h9d9c2d,286,Four of a Kind
9s9h9d9c2h,287,Four of a Kind
9s9h9d9c2s,288,Four of a Kind
9s8s8h8d8c,289,Four of a Kind
9s7s7h7d7c,290,Four of a Kind
9s6s6h6d6c,291,Four of a Kind
9s5s5h5d5c,292,Four of a Kind
9s4s4h4d4c,293,Four of a Kind
9s3s3h3d3c,294,Four of a Kind
9s2s2h2d2c,295,Four of a Kind
8s8h8d8c7c,296,Four of a Kind
8s8h8d8c7d,297,Four of a Kind
8s8h8d8c7h,298,Four of a Kind
8s8h8d8c7s,299,Four of a Kind
8s8h8d8c6c,300,Four of a Kind
8s8h8d8c6d,301,Four of a Kind
8s8h8d8c6h,302,Four of a Kind
8s8h8d8c6s,303,Four of a Kind
8s8h8d8c5c,304,Four of a Kind
8s8h8d8c5d,305,Four of a Kind
8s8h8d8c5h,306,Four of a Kind
8s8h8d8c5s,307,Four of a Kind
8s8h8d8c4c,308,Four of a Kind
8s8h8d8c4d,309,Four of a Kind
8s8h8d8c4h,310,Four of a Kind
8s8h8d8c4s,311,Four of a Kind
8s8h8d8c3c,312,Four of a Kind
8s8h8d8c3d,313,Four of a Kind
8s8h8d8c3h,314,Four of a Kind
8s8h8d8c3s,315,Four of a Kind
8s8h8d8c2c,316,Four of a Kind
8s8h8d8c2d,317,Four of a Kind
8s8h8d8c2h,318,Four of a Kind
8s8h8d8c2s,319,Four of a Kind
8s7s7h7d7c,320,Four of a Kind
8s6s6h6d6c,321,Four of a Kind
8s5s5h5d5c,322,Four of a Kind
8s4s4h4d4c,323,Four of a Kind
8s3s3h3d3c,324,Four of a Kind
8s2s2h2d2c,325,Four of a Kind
7s7h7d7c6c,326,Four of a Kind
7s7h7d7c6d,327,Four of a Kind
7s7h7d7c6h,328,Four of a Kind
7s7h7d7c6s,329,Four of a Kind
7s7h7d7c5c,330,Four of a Kind
7s7h7d7c5d,331,Four of a Kind
7s7h7d7c5h,332,Four of a Kind
7s7h7d7c5s,333,Four of a Kind
7s7h7d7c4c,334,Four of a Kind
7s7h7d7c4d,335,Four of a Kind
7s7h7d7c4h,336,Four of a Kind
7s7h7d7c4s,337,Four of a Kind
7s7h7d7c3c,338,Four of a Kind
7s7h7d7c3d,339,Four of a Kind
7s7h7d7c3h,340,Four of a Kind
7s7h7d7c3s,341,Four of a Kind
7s7h7d7c2c,342,Four of a Kind
7s7h7d7c2d,343,Four of a Kind
7s7h7d7c2h,344,Four of a Kind
7s7h7d7c2s,345,Four of a Kind
7s6s6h6d6c,346,Four of a Kind
7s5s5h5d5c,347,Four of a Kind
7s4s4h4d4c,348,Four of a Kind
7s3s3h3d3c,349,Four of a Kind
7s2s2h2d2c,350,Four of a Kind
6s6h6d6c5c,351,Four of a Kind
6s6h6d6c5d,352,Four of a Kind
6s6h6d6c5h,353,Four of a Kind
6s6h6d6c5s,354,Four of a Kind
6s6h6d6c4c,355,Four of a Kind
6s6h6d6c4d,356,Four of a Kind
6s6h6d6c4h,357,Four of a Kind
6s6h6d6c4s,358,Four of a Kind
6s6h6d6c3c,359,Four of a Kind
6s6h6d6c3d,360,Four of a Kind
6s6h6d6c3h,361,Four of a Kind
6s6h6d6c3s,362,Four of a Kind
6s6h6d6c2c,363,Four of a Kind
6s6h6d6c2d,364,Four of a Kind
6s6h6d6c2h,365,Four of a Kind
6s6h6d6c2s,366,Four of a Kind
6s5s5h5d5c,367,Four of a Kind
6s4s4h4d4c,368,Four of a Kind
6s3s3h3d3c,369,Four of a Kind
6s2s2h2d2c,370,Four of a Kind
5s5h5d5c4c,371,Four of a Kind
5s5h5d5c4d,372,Four of a Kind
5s5h5d5c4h,373,Four of a Kind
5s5h5d5c4s,374,Four of a Kind
5s5h5d5c3c,375,Four of a Kind
5s5h5d5c3d,376,Four of a Kind
5s5h5d5c3h,377,Four of a Kind
5s5h5d5c3s,378,Four of a Kind
5s5h5d5c2c,379,Four of a Kind
5s5h5d5c2d,380,Four of a Kind
5s5h5d5c2h,381,Four of a Kind
5s5h5d5c2s,382,Four of a Kind
5s4s4h4d4c,383,Four of a Kind
5s3s3h3d3c,384,Four of a Kind
5s2s2h2d2c,385,Four of a Kind
4s4h4d4c3c,386,Four of a Kind
4s4h4d4c3d,387,Four of a Kind
4s4h4d4c3h,388,Four of a Kind
4s4h4d4c3s,389,Four of a Kind
4s4h4d4c2c,390,Four of a Kind
4s4h4d4c2d,391,Four of a Kind
4s4h4d4c2h,392,Four of a Kind
4s4h4d4c2s,393,Four of a Kind
4s3s3h3d3c,394,Four of a Kind
4s2s2h2d2c,395,Four of a Kind
3s3h3d3c2c,396,Four of a Kind
3s3h3d3c2d,397,Four of a Kind
3s3h3d3c2h,398,Four of a Kind
3s3h3d3c2s,399,Four of a Kind
3s2s2h2d2c,400,Four of a Kind
AsAhAdKsKh,401,Full House
AsAhAdQsQh,402,Full House
AsAhAdJsJh,403,Full House
AsAhAdTsTh,404,Full House
AsAhAd9s9h,405,Full House
AsAhAd8s8h,406,Full House
AsAhAd7s7h,407,Full House
AsAhAd6s6h,408,Full House
AsAhAd5s5h,409,Full House
AsAhAd4s4h,410,Full House
AsAhAd3s3h,411,Full House
