rank,normalized_hand,win_rate,standard_deviation,confidence_interval,simulations
145,AsAh6h5d,0.679333,0.008521,0.016702,3000
146,AsAhJh3s,0.679333,0.008521,0.016702,3000
147,AsAh6d5h,0.679000,0.008524,0.016706,3000
148,AsAh8h6d,0.679000,0.008524,0.016706,3000
149,AsAhJdTd,0.679000,0.008524,0.016706,3000
150,AsAhKs5h,0.679000,0.008524,0.016706,3000
151,AsAh8h4s,0.678333,0.008528,0.016716,3000
152,AsAh9d8h,0.678333,0.008528,0.016716,3000
153,AsAhTd3d,0.678000,0.008531,0.016720,3000
154,AsAh6s5d,0.678000,0.008531,0.016720,3000
155,AsAh8d7h,0.677667,0.008533,0.016725,3000
156,AsAh8s7d,0.677667,0.008533,0.016725,3000
157,AsAh9h3s,0.677333,0.008535,0.016729,3000
158,AsAh9h4s,0.677333,0.008535,0.016729,3000
159,AsAhJd9h,0.677000,0.008538,0.016734,3000
160,AsAhKh6s,0.677000,0.008538,0.016734,3000
161,AsAhQh4s,0.677000,0.008538,0.016734,3000
162,AsAhQs7h,0.676667,0.008540,0.016738,3000
163,AsAh7h2s,0.676667,0.008540,0.016738,3000
164,AsAh6h2s,0.676333,0.008542,0.016743,3000
165,AsAhTd6d,0.676000,0.008544,0.016747,3000
166,AsAh9s4h,0.675667,0.008547,0.016752,3000
167,AsAh5s3h,0.675667,0.008547,0.016752,3000
168,AsAhKs6d,0.675667,0.008547,0.016752,3000
169,AsAhQs2h,0.675333,0.008549,0.016756,3000
170,AsAhJhTd,0.675333,0.008549,0.016756,3000
171,AsAh7s6d,0.675333,0.008549,0.016756,3000
172,AsAhJsTs,0.675333,0.008549,0.016756,3000
173,AsAh4d3s,0.674667,0.008554,0.016765,3000
174,AsAh3h2s,0.674667,0.008554,0.016765,3000
175,AsAh9s7d,0.674333,0.008556,0.016769,3000
176,AsAh7h3s,0.674000,0.008558,0.016774,3000
177,AsAhQs3d,0.674000,0.008558,0.016774,3000
178,AsAhQhTd,0.674000,0.008558,0.016774,3000
179,AsAh9s5d,0.673667,0.008560,0.016778,3000
180,AsAhQd9h,0.673667,0.008560,0.016778,3000
181,AsAhTh8h,0.673333,0.008563,0.016783,3000
182,AsAhTs8s,0.673333,0.008563,0.016783,3000
183,AsAhTs7d,0.673333,0.008563,0.016783,3000
184,AsAhQh5d,0.673333,0.008563,0.016783,3000
185,AsAh8d7d,0.673000,0.008565,0.016787,3000
186,AsAhJh2d,0.673000,0.008565,0.016787,3000
187,AsAh9s3h,0.673000,0.008565,0.016787,3000
188,AsAhJdTc,0.672667,0.008567,0.016792,3000
189,AsAh9d8s,0.672667,0.008567,0.016792,3000
190,AsAh8s3h,0.672333,0.008569,0.016796,3000
191,AsAhTd9c,0.672333,0.008569,0.016796,3000
192,AsAhJd8h,0.672333,0.008569,0.016796,3000
193,AsAhQh4d,0.672333,0.008569,0.016796,3000
194,AsAh8h3d,0.672000,0.008572,0.016800,3000
195,AsAhKd2s,0.672000,0.008572,0.016800,3000
196,AsAhKs2d,0.672000,0.008572,0.016800,3000
197,AsAh9h7d,0.671667,0.008574,0.016805,3000
198,AsAhJd4h,0.671667,0.008574,0.016805,3000
199,AsAhQd8h,0.671667,0.008574,0.016805,3000
200,AsAhTd8h,0.671333,0.008576,0.016809,3000
201,AsAh5d4s,0.671333,0.008576,0.016809,3000
202,AsAhKs3h,0.671333,0.008576,0.016809,3000
203,AsAhTs7s,0.671333,0.008576,0.016809,3000
204,AsAhQdTh,0.671333,0.008576,0.016809,3000
205,AsAh7d5h,0.671000,0.008578,0.016813,3000
206,AsAh8d5h,0.671000,0.008578,0.016813,3000
207,AsAhTh7d,0.671000,0.008578,0.016813,3000
208,AsAh7d5s,0.670667,0.008580,0.016818,3000
209,AsAh7d4d,0.670667,0.008580,0.016818,3000
210,AsAh8s2h,0.670667,0.008580,0.016818,3000
211,AsAhTh7h,0.670667,0.008580,0.016818,3000
212,AsAhQs9d,0.670333,0.008583,0.016822,3000
213,AsAhKdQs,0.670333,0.008583,0.016822,3000
214,AsAh5d4d,0.670333,0.008583,0.016822,3000
215,AsAhJh9h,0.670000,0.008585,0.016826,3000
216,AsAh7s5d,0.670000,0.008585,0.016826,3000
217,AsAh3s2h,0.670000,0.008585,0.016826,3000
218,AsAhTs8d,0.670000,0.008585,0.016826,3000
219,AsAh4s3d,0.670000,0.008585,0.016826,3000
220,AsAh8d7s,0.669667,0.008587,0.016831,3000
221,AsAhTd5h,0.669667,0.008587,0.016831,3000
222,AsAhJd4d,0.669667,0.008587,0.016831,3000
223,AsAh9s8s,0.669667,0.008587,0.016831,3000
224,AsAh8h7d,0.669333,0.008589,0.016835,3000
225,AsAhTd6h,0.669333,0.008589,0.016835,3000
226,AsAhKh5d,0.669333,0.008589,0.016835,3000
227,AsAh9d7h,0.669333,0.008589,0.016835,3000
228,AsAhQh3d,0.669333,0.008589,0.016835,3000
229,AsAh8h3s,0.669000,0.008591,0.016839,3000
230,AsAhTd4h,0.669000,0.008591,0.016839,3000
231,AsAh9s6d,0.669000,0.008591,0.016839,3000
232,AsAhKd4h,0.669000,0.008591,0.016839,3000
233,AsAhKs4d,0.669000,0.008591,0.016839,3000
234,AsAh9d6s,0.669000,0.008591,0.016839,3000
235,AsAh7h4h,0.668667,0.008594,0.016844,3000
236,AsAhKdQd,0.668667,0.008594,0.016844,3000
237,AsAh9h2s,0.668333,0.008596,0.016848,3000
238,AsAhKd5h,0.668333,0.008596,0.016848,3000
239,AsAh9d7s,0.668333,0.008596,0.016848,3000
240,AsAh8h4d,0.668000,0.008598,0.016852,3000
241,AsAh7d4h,0.668000,0.008598,0.016852,3000
242,AsAhTd3s,0.667667,0.008600,0.016856,3000
243,AsAhTd5s,0.667667,0.008600,0.016856,3000
244,AsAhJd7s,0.667667,0.008600,0.016856,3000
245,KsKhJsJh,0.667333,0.008602,0.016861,3000
246,AsAhTd8d,0.667333,0.008602,0.016861,3000
247,AsAh5h4h,0.667333,0.008602,0.016861,3000
248,AsAhKh8s,0.667333,0.008602,0.016861,3000
249,AsAhJhTh,0.667333,0.008602,0.016861,3000
250,AsAhKhTd,0.667000,0.008604,0.016865,3000
251,AsAhKs7h,0.667000,0.008604,0.016865,3000
252,AsAhJh3d,0.667000,0.008604,0.016865,3000
253,AsAhTs2d,0.667000,0.008604,0.016865,3000
254,AsAh7d6d,0.666667,0.008607,0.016869,3000
255,AsAhJd2s,0.666667,0.008607,0.016869,3000
256,AsAh9s3d,0.666667,0.008607,0.016869,3000
257,AsAhTh9h,0.666667,0.008607,0.016869,3000
258,AsAhJh8d,0.666667,0.008607,0.016869,3000
259,AsAhQsTs,0.666333,0.008609,0.016873,3000
260,AsAhKdTh,0.666333,0.008609,0.016873,3000
261,AsAhJh5d,0.666333,0.008609,0.016873,3000
262,AsAh9d5h,0.666333,0.008609,0.016873,3000
263,AsAh9d7d,0.666333,0.008609,0.016873,3000
264,AsAhKsQd,0.666333,0.008609,0.016873,3000
265,AsAh6d5s,0.666000,0.008611,0.016877,3000
266,AsAhTd8c,0.666000,0.008611,0.016877,3000
267,AsAh5d4h,0.666000,0.008611,0.016877,3000
268,AsAhKd4d,0.665667,0.008613,0.016882,3000
269,AsAhJh7h,0.665667,0.008613,0.016882,3000
270,AsAhQhJh,0.665667,0.008613,0.016882,3000
271,AsAhQd9s,0.665667,0.008613,0.016882,3000
272,AsAhKsTd,0.665667,0.008613,0.016882,3000
273,AsAh8h3h,0.665333,0.008615,0.016886,3000
274,AsAh9h4d,0.665000,0.008617,0.016890,3000
275,AsAhTh2d,0.665000,0.008617,0.016890,3000
276,AsAhQd6s,0.665000,0.008617,0.016890,3000
277,AsAhQs8d,0.664667,0.008619,0.016894,3000
278,AsAhTd7d,0.664667,0.008619,0.016894,3000
279,AsAhKh3d,0.664667,0.008619,0.016894,3000
280,AsAhTh8d,0.664667,0.008619,0.016894,3000
281,AsAhJs5s,0.664667,0.008619,0.016894,3000
282,AsAhJs5d,0.664667,0.008619,0.016894,3000
283,AsAhQd8s,0.664667,0.008619,0.016894,3000
284,KsKhTsTh,0.664333,0.008622,0.016898,3000
285,AsAhKhQh,0.664333,0.008622,0.016898,3000
286,AsAh5h2h,0.664333,0.008622,0.016898,3000
287,AsAhTh6h,0.664333,0.008622,0.016898,3000
288,AsAhTs2s,0.664000,0.008624,0.016902,3000
289,AsAh8h6h,0.663667,0.008626,0.016907,3000
290,AsAh7d5d,0.663667,0.008626,0.016907,3000
291,AsAh8d5s,0.663667,0.008626,0.016907,3000
292,AsAh8h7h,0.663333,0.008628,0.016911,3000
293,AsAhQs3s,0.663333,0.008628,0.016911,3000
294,AsAh8s5s,0.663333,0.008628,0.016911,3000
295,AsAhTd2h,0.663333,0.008628,0.016911,3000
296,AsAhTd9d,0.663333,0.008628,0.016911,3000
297,AsAh9s7s,0.663333,0.008628,0.016911,3000
298,AsAhKs5d,0.663333,0.008628,0.016911,3000
299,AsAh7s4d,0.663333,0.008628,0.016911,3000
300,AsAhTs4d,0.663333,0.008628,0.016911,3000
301,AsAhTd2s,0.663000,0.008630,0.016915,3000
302,AsAhKd3s,0.663000,0.008630,0.016915,3000
303,AsAhTh4d,0.663000,0.008630,0.016915,3000
304,AsAh7h5d,0.662667,0.008632,0.016919,3000
305,AsKsKhQh,0.662667,0.008632,0.016919,3000
306,AsAhKh4d,0.662667,0.008632,0.016919,3000
307,AsAh5s4s,0.662667,0.008632,0.016919,3000
308,AsAh6s5s,0.662667,0.008632,0.016919,3000
309,AsAhKsJd,0.662667,0.008632,0.016919,3000
310,AsAh7h5h,0.662333,0.008634,0.016923,3000
311,AsAhKh9d,0.662333,0.008634,0.016923,3000
